,Name,Medals
763,Melaine Antoinette Walker,1
764,"Tomas ""Tom"" Walsh",1
765,"Getenesh ""Gete"" Wami Degife",3
766,Wang Junxia,2
767,Wang Liping,1
768,Wang Yan,1
769,Wang Zhen,2
770,"Samuel Kamau ""Sammy"" Wanjiru",1
771,Jeremy Matthew Wariner,4
772,Damian Warner,1
773,"Mitchell ""Mitch"" Watt",1
774,Saul Weigopwa,1
775,Warren Antonio Weir,1
776,Kellie Wells,1
777,Rosemarie Whyte,2
778,Andrae Williams,1
779,"Christopher A. ""Chris"" Williams",1
780,Christania Williams,1
781,Lauryn Chenet Williams,2
782,Shericka Nicola Williams,3
783,"Bernard Rollen Williams, III",2
784,Tonique Williams-Darling,1
785,Novlene Hilaire Williams-Mills,4
786,Darold Andre Williamson,1
787,Kelly Jeromy Willie,1
788,"Nicholas Ian ""Nick"" Willis",2
789,Linetta A. Wilson,1
790,Mary Wineberg (Danner-),1
791,"Reginald Edwin ""Regi"" Witherspoon",1
792,Anita Wodarczyk,2
793,Million Wolde,1
794,Ilke Wyludda,1
795,Xing Huina,1
796,Ryota Yamagata,1
797,Irina Vasilyevna Yatchenko,1
798,Alfred Kirwa Yego,1
799,Julius Kiplagat Yego,1
800,Valentina Mikhaylovna Yegorova (Vasilyeva-),1
801,Yelena Borisovna Yelesina,1
802,Denys Serhiyovych Yurchenko,1
803,Fatima Yusuf-Olukoju,1
804,"Yuliya Mikhaylovna Zaripova (Ivanova-, -Zarudneva-)",1
805,Jan elezn,2
806,Zhang Wenxiu,2
807,Zhou Chunxiu,1
808,Szymon Zikowski,1
809,Ellina Aleksandrovna Zvereva (Kisheyeva-),2
810,Olesya Nikolayevna Zykina,2
