,Name,Medals
177,Fabrizio Donato,1
178,Dong Bin,1
179,"Stacy Rene Dragila (Mikaelsen-, -Waltz)",1
180,Heike Gabriela Drechsler (Daute-),1
181,Deena Michelle Drossin-Kastor,1
182,Derek Drouin,2
183,"Jonathan A. ""Jon"" Drummond",2
184,Vladimir Vladimirovich Dubrovshchik,1
185,Fitzroy Junior Dunkley,1
186,Tom Dvok,1
187,"Patrick ""Pat"" Dwyer",1
188,Ashton James Eaton,2
189,Jonathan David Edwards,2
190,Torri Mechelle Edwards,1
191,Aaron Egbele,1
192,Hicham El Guerrouj,3
193,Taylor Ellis-Watson,1
194,Uchenna Emedolu,1
195,Jessica Phyllis Ennis-Hill,2
196,Robert Esmie,1
197,Nelson vora,1
198,Ali Ezzine,1
199,Simone Facey,1
200,Aigars Fadejevs,1
201,"Mohamed Muktar Jama ""Mo"" Farah",4
202,Olusoji Adetokumbo Fasuba,1
203,Aleksandra Andreyevna Fedoriva,1
204,Allyson Michelle Felix,9
205,Sylviane Flix,1
206,Svetlana Yevgenyevna Feofanova,2
207,"Deborah ""Debbie"" Ferguson-McKenzie",3
208,Francisco Javier Fernndez Pelez,1
209,Tatyana Pavlovna Firova,3
210,Shalane Flanagan (-Edwards),1
211,Vala R. Flosadttir,1
212,Shashalee Forbes,1
213,Hyleas Christine Fountain,1
214,Javon Francis,1
215,Phyllis Chanez Francis,1
216,Shelly-Ann Fraser-Pryce,6
217,Michael Audley Frater,1
218,Merlene Frazer,1
219,"Frank ""Frankie"" Fredericks",2
220,"Catherine Astrid Salome ""Cathy"" Freeman",2
221,Michelle Freeman,1
222,Savatheda Fynes,2
223,Olga Olegovna Fyodorova-Stulneva,1
224,Fidelis Gadzama,1
225,Chryste Dionne Gaines,2
226,Jean Galfione,1
227,Anier Octavio Garca Ortz,2
228,Ivn Garca Snchez,1
229,Yoel Garca Luis,1
230,Jason John Gardener,1
231,Steven Gardiner,1
232,English Gardner,1
233,Justin Alexander Gatlin,5
234,Dejen Gebremeskel,1
235,Hagos Gebrhiwet Berhe,1
236,Haile Gebrselassie,2
237,Erba Tiki Gelana,1
238,Kim Gevaert,1
239,Jaouad Gharib,1
240,Habiba Al-Ghribi-Boudra,1
241,Giuseppe Gibilisco,1
242,Glenroy John Gilbert,1
243,Patricia Girard-Lno,1
244,John Carl Godina,2
245,Svetlana Valentinovna Goncharenko (Doronina-),1
246,Gong Lijiao,1
247,Mara Guadalupe Gonzlez Romero,1
248,Chrisann Gordon,1
249,Lalonde Keida Gordon,2
250,"Robert Karl ""Robbie"" Grabarz",1
251,"Stephanie ""Steffi"" Graf (-Zitny)",1
252,"Kimberly Elaine ""Kim"" Graham (-Miller)",1
253,Lorraine Graham (-Fenton),2
254,"Joseph Tilford Lee ""Joe"" Greene",1
255,Maurice Greene,4
256,Tatiana Grigorieva,1
257,Ana Gabriela Guevara Espinoza,1
258,Carlette Denise Guidry-White (-Falkquay),1
259,Yuliya Aleksandrovna Gushchina,3
260,Ehsan Haddadi,1
261,Arman Hall,1
262,Abderrahmane Hammad Zaheer,1
263,"James Edward ""Trey"" Hardee, III",1
264,"Timothy M. ""Tim"" Harden",1
265,Arsi Ilari Harju,1
266,"Dawn Harper (-Everhart, -Nelson)",2
267,"Otis Harris, Jr.",2
268,Alvin Leonardo Harrison,2
